food_name_in_french,ashes_in_g_for_100g,alcohol_in_g_for_100g,organic_acids_in_g_for_100g
"Salade de thon et légumes, appertisée",,0.0,
"Salade composée avec viande ou poisson, appertisée",,0.0,
"Champignons à la grecque, appertisés",,0.0,
"Salade de pommes de terre, fait maison",,0.0,
"Taboulé ou Salade de couscous, préemballé",,0.0,
"Salade de pomme de terre à la piémontaise, préemballée",,0.0,
"Salade de riz, appertisée",,0.0,
"Salade de pâtes, végétarienne",,0.0,
"Crudité, sans assaisonnement (aliment moyen)",,0.0,
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",,0.0,
"Macédoine de légumes en salade, avec sauce, préemballée",,0.0,
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,0.0,
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",,0.0,
"Carottes râpées, avec sauce, préemballées",,0.0,
"Salade de betterave, avec sauce, préemballée",,0.0,
"Salade de chou ou Coleslaw, avec sauce, préemballée",,0.0,
"Salade de concombre à la crème/fromage blanc, préemballée",,0.0,
"Salade de lentilles et saucisse fumée, préemballée",,0.0,
"Salade grecque, avec sauce, préemballée",,0.0,
"Salade de riz à la niçoise, avec sauce, préemballée",,0.0,
"Taboulé ou Salade de couscous au poulet, préemballé",,0.0,
"Soupe aux lentilles, préemballée à réchauffer",,0.0,
"Soupe à la volaille et aux légumes, préemballée à réchauffer",,0.0,
"Soupe aux légumes variés, préemballée à réchauffer",1.0,0.0,
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",,0.0,
"Soupe aux légumes variés, déshydratée reconstituée",,0.0,
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",,0.0,
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",,0.0,
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",,0.0,
"Soupe à l'oignon, préemballée à réchauffer",,0.0,
"Soupe aux champignons, préemballée à réchauffer",1.0,0.0,
"Soupe à la carotte, préemballée à réchauffer",,0.0,
"Soupe à la tomate, préemballée à réchauffer",,0.0,
"Soupe chorba frik, à base de viande et de frik",,0.0,
"Soupe minestrone, préemballée à réchauffer",1.0,0.0,
"Soupe au pistou, déshydratée reconstituée",,0.0,
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",,0.0,
"Soupe asiatique, avec pâtes, déshydratée reconstituée",,0.0,
"Soupe marocaine, déshydratée reconstituée",,0.0,
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",,0.0,
"Soupe à la volaille et aux légumes, déshydratée reconstituée",,0.0,
"Bouillon de boeuf, déshydraté reconstitué",,0.0,
"Soupe aux asperges, déshydratée reconstituée",,0.0,
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",,0.0,
"Soupe aux céréales et aux légumes, déshydratée reconstituée",,0.0,
"Soupe à la tomate, déshydratée reconstituée",,0.0,
"Soupe aux champignons, déshydratée reconstituée",,0.0,
"Soupe à l'oignon, déshydratée reconstituée",,0.0,
"Soupe au potiron, préemballée à réchauffer",,0.0,
"Bouillon de volaille, déshydraté reconstitué",,0.0,
