food_name_in_french,sugars_in_g_for_100g,fructose_in_g_for_100g,galactose_in_g_for_100g,glucose_in_g_for_100g,lactose_in_g_for_100g,maltose_in_g_for_100g,sucrose_in_g_for_100g,starch_in_g_for_100g,dietary_fibers_in_g_for_100g,total_polyols_in_g_for_100g
"Salade de thon et légumes, appertisée",,,,,,,,,,
"Salade composée avec viande ou poisson, appertisée",,,,,,,,,2.0,
"Champignons à la grecque, appertisés",,,,1.0,,,,,,
"Salade de pommes de terre, fait maison",,,,,,,,,,
"Taboulé ou Salade de couscous, préemballé",,2.0,,,,,,,,
"Salade de pomme de terre à la piémontaise, préemballée",,,,,,,,6.0,,
"Salade de riz, appertisée",1.0,,,,,,,,,
"Salade de pâtes, végétarienne",,,0.0,,0.0,,,10.0,,
"Crudité, sans assaisonnement (aliment moyen)",,,,,,,,,,
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",,,,,,,,,,
"Macédoine de légumes en salade, avec sauce, préemballée",,,,,,,,,,
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,,,,,,,,2.0,
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",,,,,,,,,,
"Carottes râpées, avec sauce, préemballées",,,,,,,,,,
"Salade de betterave, avec sauce, préemballée",,,,,,,,,,
"Salade de chou ou Coleslaw, avec sauce, préemballée",,,,,,,,,3.0,
"Salade de concombre à la crème/fromage blanc, préemballée",,,,,,,,,,
"Salade de lentilles et saucisse fumée, préemballée",,,,,,,,,,
"Salade grecque, avec sauce, préemballée",,,,,,,,,2.0,
"Salade de riz à la niçoise, avec sauce, préemballée",,,,,,,,,,
"Taboulé ou Salade de couscous au poulet, préemballé",,,,,,,,,,
"Soupe aux lentilles, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe à la volaille et aux légumes, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux légumes variés, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux légumes variés, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",,,,,,,,,,0.0
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",0.0,,,,,,,,0.0,0.0
"Soupe à l'oignon, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux champignons, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe à la carotte, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe à la tomate, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe chorba frik, à base de viande et de frik",,,,,,,,,,0.0
"Soupe minestrone, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe au pistou, déshydratée reconstituée",,,,,,,,4.0,,0.0
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe asiatique, avec pâtes, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe marocaine, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe à la volaille et aux légumes, déshydratée reconstituée",,,,,,,,,,0.0
"Bouillon de boeuf, déshydraté reconstitué",,,,,,,,0.0,0.0,0.0
"Soupe aux asperges, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux céréales et aux légumes, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe à la tomate, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe aux champignons, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe à l'oignon, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe au potiron, préemballée à réchauffer",,,,,,,,,,0.0
"Bouillon de volaille, déshydraté reconstitué",,,,,,,,0.0,,0.0
"Bouillon de légumes, déshydraté reconstitué",,,,,,,,,0.0,0.0
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe au pistou, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe au potiron, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe asiatique, avec pâtes, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe minestrone, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe au cresson, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe au cresson, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux légumes avec fromage, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux légumes verts, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe aux légumes verts, déshydratée reconstituée",,,,,,,,,,0.0
"Soupe aux pois cassés, préemballée à réchauffer",,,,,,,,,,0.0
"Soupe froide type Gaspacho ou Gazpacho, préemballée",,,,,,,,,,0.0
"Soupe aux asperges, préemballée à réchauffer",,,,,,,,,1.0,0.0
Soupe (aliment moyen),,,,,,,,,,0.0
"Soupe miso, déshydratée reconstituée",,,,,,,,,,0.0
Tripes à la mode de Caen,,,,,,,,,0.0,0.0
"Tripes à la mode de Caen, préemballées",,,,,,,,,,0.0
Tripes à la tomate ou à la provençale,,,,,,,,,0.0,0.0
Blanquette de veau,,,,,,,,,,0.0
Boeuf bourguignon,,,,,,,,,,0.0
"Sauté d'agneau au curry, préemballé",,,,,,,,,1.0,0.0
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",,,,,,,,,,0.0
"Lapin à la moutarde, préemballé",,,,,,,,,,0.0
Coq au vin,1.0,,,,,,,,,0.0
Paupiette de veau,,,,,,,,,,0.0
Paupiette de volaille,,,,,,,,,,0.0
Viande en sauce (aliment moyen),,,,,,,,,,0.0
Poulet au curry et au lait de coco,,,,,,,,,,0.0
"Meloukhia, plat à base de boeuf et corete, fait maison",,,,,,,,0.0,,0.0
"Palette à la diable, préemballée",,,,,,,,,,0.0
"Langue de boeuf sauce madère, préemballée",,,,,,,,,1.0,0.0
"Porc au caramel, préemballé",,,,,,,,,,0.0
"Boulettes au boeuf, à la sauce tomate, préemballées",,,,,,,,,,0.0
"Paupiette de veau, préemballée,  cuite au four",,,,,,,,,,0.0
"Carpaccio de boeuf, avec marinade",,,,,,,,,,0.0
Yakitori (brochettes japonaises grillées en sauce),,,,,,,,,,0.0
"Brochette de boeuf, cuite",,,,,,,,,,0.0
"Brochette de volaille, cuite",,,,,,,,,,0.0
"Hachis parmentier à la viande, préemballé",,,,,,,,,,0.0
Couscous au mouton,,,,,,,,,,0.0
"Couscous à la viande ou au poulet, préemballé, allégé",,,,,,,,,2.0,0.0
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",,,,,,,,,,0.0
"Couscous royal (avec plusieurs viandes), préemballé",,,,,,,,,,0.0
Couscous au poulet,,,,,,,,,,0.0
"Couscous à la viande, préemballé",,,,,,,,,,0.0
"Parmentier de canard, préemballé",,,,,,,,,,0.0
"Parmentier de canard, préemballé, cuit",,,,,,,,,,0.0
"Cassoulet, appertisé",,,,,,,,,,0.0
"Choucroute garnie, préemballée",,,,,,,,,,0.0
"Petit salé ou saucisse aux lentilles, préemballé",,,,,,,,,,0.0
"Pot-au-feu, préemballé",,,,,,,,,,0.0
Boeuf aux carottes,,,,,,,,,,0.0
Potée auvergnate (chou et porc),,,,,,,,,,0.0
"Cassoulet au porc, appertisé",,,,,,,,,4.0,0.0
"Cassoulet au canard ou oie, appertisé",,,,,,,,,,0.0
Tomate farcie,,,,,,,,,,0.0
"Chou farci, préemballé",2.0,,,,,,,,,0.0
"Chili con carne, préemballé",,,0.0,,0.0,,,,,0.0
Moussaka,,,,,,,,,,0.0
Navarin d'agneau aux légumes,,,,,,,,,,0.0
Tajine de mouton,,,,,,,,,,0.0
Osso buco,,,,,,,,,,0.0
"Poulet basquaise, préemballé",2.0,,,,,,,,,0.0
"Tajine de poulet, préemballé",,,,,,,,,3.0,0.0
"Chop suey (porc ou poulet), préemballé",,,,,,,,,,0.0
Légumes farcis (sauf tomate),,,,,,,,,,0.0
Moules marinières (oignons et vin blanc),,,,,,,,,,
"Moules farcies (matière grasse, persillade…), préemballées, crues",,,,,,,,,,0.0
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",,,,,,,,,,0.0
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",,,,,,,,,,0.0
"Saumon à l'oseille, préemballé",,,,,,,,,,0.0
"Poisson blanc à la bordelaise, préemballé",,,,,,,,,1.0,0.0
