food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
"Salade de thon et légumes, appertisée",,,731.0,,,2.0,,,,232.0,,445.0,
"Salade composée avec viande ou poisson, appertisée",,22.0,584.0,,,,20.0,,92.0,220.0,30.0,381.0,
"Champignons à la grecque, appertisés",,27.0,,,,,,,,277.0,,500.0,
"Salade de pommes de terre, fait maison",,19.0,,,,,15.0,,52.0,254.0,,529.0,
"Taboulé ou Salade de couscous, préemballé",1.0,24.0,647.0,,,,25.0,,80.0,210.0,,399.0,
"Salade de pomme de terre à la piémontaise, préemballée",,13.0,709.0,,,,16.0,,72.0,300.0,,433.0,
"Salade de riz, appertisée",,,,,,,,,,143.0,,431.0,
"Salade de pâtes, végétarienne",,14.0,86.0,,,4.0,11.0,,37.0,84.0,,51.0,
"Crudité, sans assaisonnement (aliment moyen)",,,,,,,,,,241.0,,,
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",,19.0,492.0,,,,,,,193.0,,378.0,
"Macédoine de légumes en salade, avec sauce, préemballée",,,,,,,,,,,,426.0,
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,100.0,483.0,,,,19.0,,150.0,300.0,,301.0,
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",,37.0,484.0,,,,46.0,,110.0,140.0,,309.0,
"Carottes râpées, avec sauce, préemballées",,31.0,,,,,,,,,,264.0,
"Salade de betterave, avec sauce, préemballée",,21.0,,,4.0,,,,,,,280.0,
"Salade de chou ou Coleslaw, avec sauce, préemballée",,39.0,556.0,,,,,,29.0,210.0,,353.0,
"Salade de concombre à la crème/fromage blanc, préemballée",,,,,,,,,,,,411.0,
"Salade de lentilles et saucisse fumée, préemballée",,,,,,,,,,,,355.0,
"Salade grecque, avec sauce, préemballée",,,,,,,,,,,,416.0,
"Salade de riz à la niçoise, avec sauce, préemballée",,,,,,,,,,,,300.0,
"Taboulé ou Salade de couscous au poulet, préemballé",,18.0,661.0,,,,24.0,,100.0,190.0,,424.0,
"Soupe aux lentilles, préemballée à réchauffer",,25.0,,,,4.0,19.0,,74.0,144.0,,143.0,
"Soupe à la volaille et aux légumes, préemballée à réchauffer",,,,,,,,,,,,700.0,
"Soupe aux légumes variés, préemballée à réchauffer",,14.0,442.0,,,,,,19.0,110.0,,275.0,
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",,130.0,611.0,,,70.0,11.0,,80.0,110.0,,343.0,
"Soupe aux légumes variés, déshydratée reconstituée",,21.0,426.0,,,1.0,7.0,,,60.0,,276.0,
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",,16.0,450.0,,,,,,16.0,94.0,,290.0,
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",,,,,,,,,17.0,,,326.0,
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",,1.0,,0.0,,,2.0,,1.0,15.0,0.0,430.0,
"Soupe à l'oignon, préemballée à réchauffer",,12.0,,,,,1.0,,4.0,28.0,,315.0,
"Soupe aux champignons, préemballée à réchauffer",,7.0,490.0,,,,2.0,,12.0,62.0,,312.0,
"Soupe à la carotte, préemballée à réchauffer",,15.0,,,,,7.0,,20.0,140.0,,259.0,
"Soupe à la tomate, préemballée à réchauffer",,11.0,416.0,,,,,,15.0,130.0,,259.0,
"Soupe chorba frik, à base de viande et de frik",,19.0,,,,2.0,17.0,,54.0,157.0,,337.0,
"Soupe minestrone, préemballée à réchauffer",,,460.0,,,1.0,,,,106.0,,300.0,
"Soupe au pistou, déshydratée reconstituée",,19.0,,,,1.0,14.0,,24.0,132.0,,256.0,
