food_name_in_french,saturated_fats_in_g_for_100g,monounsaturated_fats_in_g_for_100g,polyunsaturated_fats_in_g_for_100g,butyric_acid_4_0_in_g_for_100g,caproic_acid_6_0_in_g_for_100g,caprylic_acid_8_0_in_g_for_100g,capric_acid_10_0_in_g_for_100g,lauric_acid_12_0_in_g_for_100g,myristic_acid_14_0_in_g_for_100g,palmitic_acid_16_0_in_g_for_100g,stearic_acid_18_0_in_g_for_100g,oleic_acid_18_1_n_9_in_g_for_100g,linoleic_acid_18_2_n_6_in_g_for_100g,alpha_linolenic_acid_18_3_n_3_in_g_for_100g,arachidonic_acid_20_4_n_6_in_g_for_100g,eicosapentaenoic_acid_20_5_n_3_in_g_for_100g,docosahexaenoic_acid_22_6_n_3_in_g_for_100g,cholesterol_in_mg_for_100g
"Salade de thon et légumes, appertisée",,,,,,,,,,,,,,,,,,
"Salade composée avec viande ou poisson, appertisée",,,,,,,,,,,,,,,,,,
"Champignons à la grecque, appertisés",,,,,,,,,,,,,,,,,,
"Salade de pommes de terre, fait maison",,,,,,,0.0,,,,,,,,,,,68.0
"Taboulé ou Salade de couscous, préemballé",,,,,,,,,,,,,,,,,,
"Salade de pomme de terre à la piémontaise, préemballée",,,,,,,,,,,,,,,,,,
"Salade de riz, appertisée",,,,,,,,,,,,,,,,,,
"Salade de pâtes, végétarienne",,,,,,,,,,,,,,,,,,6.0
"Crudité, sans assaisonnement (aliment moyen)",,,,,,,,,,,,,,,,,,
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",,,,,,,,,,,,,,,,,,
"Macédoine de légumes en salade, avec sauce, préemballée",,,,,,,,,,,,,,,,,,
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,,,,,,,,,,,,,,,,,
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",,,,,,,,,,,,,,,,,,
"Carottes râpées, avec sauce, préemballées",,,,,,,,,,,,,,,,,,
"Salade de betterave, avec sauce, préemballée",,,,,,,,,,,,,,,,,,
"Salade de chou ou Coleslaw, avec sauce, préemballée",,,,,,,,,,,,,,,,,,
"Salade de concombre à la crème/fromage blanc, préemballée",,,,,,,,,,,,,,,,,,
"Salade de lentilles et saucisse fumée, préemballée",,,,,,,,,,,,,,,,,,
"Salade grecque, avec sauce, préemballée",,,,,,,,,,,,,,,,,,
"Salade de riz à la niçoise, avec sauce, préemballée",,,,,,,,,,,,,,,,,,
"Taboulé ou Salade de couscous au poulet, préemballé",,,,,,,,,,,,,,,,,,
"Soupe aux lentilles, préemballée à réchauffer",,,,,,,0.0,0.0,,,,,,,,,,3.0
"Soupe à la volaille et aux légumes, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe aux légumes variés, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",,,,,,,,,,,,,,,,,,30.0
"Soupe aux légumes variés, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,5.0
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",,,,,,,,,,,,,,,,,,0.0
"Soupe à l'oignon, préemballée à réchauffer",,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0
"Soupe aux champignons, préemballée à réchauffer",,,,,,,,,,,,,,,,0.0,0.0,
"Soupe à la carotte, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe à la tomate, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe chorba frik, à base de viande et de frik",,,,,,,,,,,,,,,,,,11.0
"Soupe minestrone, préemballée à réchauffer",,,,,,,,,,,,,,,,0.0,0.0,
"Soupe au pistou, déshydratée reconstituée",,,,,,,,,,,,,,,,,,1.0
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe asiatique, avec pâtes, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe marocaine, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe à la volaille et aux légumes, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Bouillon de boeuf, déshydraté reconstitué",,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0
"Soupe aux asperges, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe aux céréales et aux légumes, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe à la tomate, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe aux champignons, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe à l'oignon, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe au potiron, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Bouillon de volaille, déshydraté reconstitué",,,,,,,,0.0,0.0,,,,,,,,,0.0
"Bouillon de légumes, déshydraté reconstitué",,,,,,,,,,,,,,,,,,0.0
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe au pistou, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe au potiron, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe asiatique, avec pâtes, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe minestrone, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe au cresson, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe au cresson, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe aux légumes avec fromage, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe aux légumes verts, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe aux légumes verts, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
"Soupe aux pois cassés, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
"Soupe froide type Gaspacho ou Gazpacho, préemballée",,,,,,,,,,,,,,,,,,
"Soupe aux asperges, préemballée à réchauffer",,,,,,,,,,,,,,,,,,
Soupe (aliment moyen),,,,,,,,,,,,,,,,,,
"Soupe miso, déshydratée reconstituée",,,,,,,,,,,,,,,,,,
Tripes à la mode de Caen,,,,,,,,,,,,1.0,,,,,,119.0
"Tripes à la mode de Caen, préemballées",,,,,,,,,,,,,,,,,,
Tripes à la tomate ou à la provençale,,,,,,,,,,,,,,,,,,
Blanquette de veau,,,,,,,,,,1.0,,,,,,,,
Boeuf bourguignon,,,,,,,,,,,,,,,,,,64.0
"Sauté d'agneau au curry, préemballé",,,,,,,,,,,,,,,,,,
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",,,,,,,,,,,,,,,,,,
"Lapin à la moutarde, préemballé",,,,,,,,,,,,,,,,,,
Coq au vin,1.0,,,,,,,,,,,,,,,,,65.0
Paupiette de veau,,,,,,,,,,,,,,,,,,
Paupiette de volaille,,,,,,,,,,,,,,,,,,
Viande en sauce (aliment moyen),,,,,,,,,,,,,,,,,,
Poulet au curry et au lait de coco,,,,,,,,,,,,,,,,,,
"Meloukhia, plat à base de boeuf et corete, fait maison",,,,,,,,,,,,,,,,,,23.0
"Palette à la diable, préemballée",,,,,,,,,,,,,,,,,,
"Langue de boeuf sauce madère, préemballée",6.0,,,,,,,,,,,,,,,,,
"Porc au caramel, préemballé",,,,,,,,,,,,,,,,,,29.0
"Boulettes au boeuf, à la sauce tomate, préemballées",,,,,,,,,,,,,,,,,,
"Paupiette de veau, préemballée,  cuite au four",,,,,,,,,,,,,,,,,,
"Carpaccio de boeuf, avec marinade",,10.0,4.0,,,,,,,,,,,,,,,
Yakitori (brochettes japonaises grillées en sauce),,,,,,,,,,,,,,,,,,
"Brochette de boeuf, cuite",,,,,,,,,,,,,,,,,,
"Brochette de volaille, cuite",,,,,,,,,,,,,,,,,,
"Hachis parmentier à la viande, préemballé",,,,,,,,,,,,,,,,,,20.0
Couscous au mouton,,,,,,,,,,,,,,,,,,
"Couscous à la viande ou au poulet, préemballé, allégé",,,,,,,,,,,,,,,,,,16.0
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",,,,,,,,,,,,,,,,,,
"Couscous royal (avec plusieurs viandes), préemballé",,,,,,,,,,,,,,,,,,20.0
Couscous au poulet,,,,,,,,,,,,,,,,,,
"Couscous à la viande, préemballé",,,,,,,,,,,,,,,,,,
"Parmentier de canard, préemballé",,,,,,,,,,,,,,,,,,
"Parmentier de canard, préemballé, cuit",,,,,,,,,,,,,,,,,,
"Cassoulet, appertisé",,,,,,,,,,,,,,,,,,
"Choucroute garnie, préemballée",,,,,,,,,,,,,,,,,,
"Petit salé ou saucisse aux lentilles, préemballé",,,,,,,,,,1.0,,,,,,,,27.0
"Pot-au-feu, préemballé",,,,,,,,,,,,,,,,,,
Boeuf aux carottes,,,,,,,,,,,,,,,,,,47.0
Potée auvergnate (chou et porc),,,,,,,,,,,,,,,,,,28.0
"Cassoulet au porc, appertisé",,,,,,,,,,,,,,,,,,
"Cassoulet au canard ou oie, appertisé",,,,,,,,,,,,,,,,,,
Tomate farcie,,,,,,,,,,,,,,,,,,42.0
"Chou farci, préemballé",,,,,,,,,,,,,,,,,,
"Chili con carne, préemballé",,,,,,,,,,,,,,,,0.0,,
Moussaka,,,,,,,,,,,,,,,,,,31.0
Navarin d'agneau aux légumes,,,,,,,,,,,,,,,,,,
Tajine de mouton,,,,,,,,,,,,,,,,,,
Osso buco,,,,,,,,,,,,,,,,,,26.0
"Poulet basquaise, préemballé",,,,,,,,,,,,,,,,,,
"Tajine de poulet, préemballé",,,1.0,,,,,,,,,,,,,,,
"Chop suey (porc ou poulet), préemballé",,,,,,,,,,,,,,,,,,
Légumes farcis (sauf tomate),,,,,,,,,,,,,,,,,,
Moules marinières (oignons et vin blanc),,,,,,,,,,,,,,,,,,
"Moules farcies (matière grasse, persillade…), préemballées, crues",,,,,,,,,,,,,,,,,,
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",,,,,,,,,,,,,,,,,,
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",,,,,,,,,,,,,,,,,,
"Saumon à l'oseille, préemballé",,,,,,,,,,,,,,,,,,
"Poisson blanc à la bordelaise, préemballé",,,,0.0,,,,,,,,,,,,,,51.0
"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",,,,,,,,,,,,,,,,,,28.0
"Poisson blanc à la florentine (sauce aux épinards), préemballé",,,,,,,,,,,,,,,,,,
"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",,,,,,,,,,,,,,,,,,
"Poisson blanc à la sauce moutarde, préemballé",,,,,,,,,,,,,,,,,,
"Poisson blanc à la parisienne (sauce aux champignons), préemballé",,,,,,,,,,,,,,,,,,
"Poisson blanc à l'estragon, préemballé",,,,,,,,,,,,,,,,,,
"Poisson blanc sauce oseille, préemballé",,,,,,,,,,,,,,,,,,
"Saumon farci, préemballé",,,,,,,,,,,,,,,,,,
Brochette de poisson,,,1.0,,,,,,,,,,,,,,,
Brochette de crevettes,,,,,,,,,,,,,,,,,,120.0
"Poisson en sauce, surgelé",,,,,,,,,,,,,,,,,,28.0
Poisson cuit (aliment moyen),,,,,,,,,,,,,,,,,,
"Poisson blanc, cuit (aliment moyen)",,,,,,,,,,,,,,,,,,
"Poisson blanc, de mer, cuit (aliment moyen)",,,,,,,,,,,,,,,,,,
Paëlla,,,,,,,,,,,,,,,,,,
Couscous au poisson,,,,,,,,,,,,,,,,,,
"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",,,,,,,,,,,,,,,,,,31.0
Sushi ou Maki aux produits de la mer,,,,,,,,,,,,,,,,,,
Terrine ou mousse de légumes,,,,,,,,,,,,,,,,,,
Flan de légumes,,,,,,,,,,,,,,,,,,153.0
"Haricots blancs à la sauce tomate, appertisés",,,,,,,,,,,,,,,,,,
"Piperade basquaise, préemballée",2.0,,,,,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",,,,,,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",,,,,,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",,,,,,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",,,,,,,0.0,,,,,,,,,,0.0,
"Ratatouille cuisinée, préemballée",,,,,,,,,,,,,,,,,,
"Épinards à la crème, préemballés",,,,,,,,,,,,,,,,,,
"Gratin d'aubergine, préemballé",,,,,,,,,,,,,,,,,,
Gratin dauphinois,,,,,,,,,,,,,,,,,,
Endive au jambon,,,,,,,,,,,,,,,,,,
"Gratin de chou-fleur, préemballé",4.0,,,,,,,,,,,,,,,,,
Gratin de légumes,,,,,,,,,,,,,,,,,,
"Riste d'aubergines (aubergines, tomates, oignons), préemballée",2.0,,,,,,,,,,,,,,,,,
"Palet ou galette de légumes, préfrit, surgelé",,,,,,,,,,,,,,,,,,
"Palet ou galette de légumes, préfrit, surgelé, cuit",,,,,,,,,,,,,,,,,,
"Choucroute, sans garniture, égouttée, cuite",,,,,,,,,,,,,,,,,,
"Tomate à la provençale, fait maison",,,,,,,,,,,,,,,,,,4.0
Beignet de légumes,,,,,,,,,,,,,,,,,,34.0
"Falafel ou Boulette de pois-chiche et/ou fève, frite",,,,,,,,,,,,,,,,,,
"Gratin de légumes en sauce blanche type béchamel, cuit",,,,,,,,,,,,,,,,,,37.0
"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",,,,,,,,,,,,,,,,,,
"Blé dur précuit cuisiné, en sachet micro-ondable",,,,,,,,,,,,,,,,,,
"Blé dur précuit, grains entiers, cuisiné, à poêler",,,,,,,,,,,,,,,,,,
"Ravioli à la viande, sauce tomate, appertisé",,,,,,,,,,,,,,,,,,
Lasagnes ou cannelloni à la viande (bolognaise),,,,,,,,,,,,,,,,,0.0,
"Pâtes à la bolognaise (spaghetti, tagliatelles…)",,,,,,,,,,,,,,,,,,11.0
Riz cantonais,,,,,,,,,,,,,,,,,,
"Ravioli chinois à la vapeur à la crevette, cuit",,,,,,,,,,,,,,,,,,
Gratin de pâtes,,,,,,,,,,,,,,,,,,
"Lasagnes ou cannellonis aux légumes, préemballées, cuits",,,,,,,,,,,,,,,,,,5.0
"Pâtes à la carbonara (spaghetti, tagliatelles…)",,,,,,,,,,,,,,,,,,
"Lasagnes ou cannellonis au poisson, préemballées",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",,,,,,,,,,,,,,,,,,
"Couscous de légumes, préemballé",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",,,,,,,,,,1.0,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",,,,,,,,,,,,,,,,,,49.0
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",,,,,,,,,,,,,,,,,,
Nouilles sautées/poêlées aux crevettes,,,,,,,,,,,,,,,,,,
"Riz blanc, avec poulet, préemballé, cuit",,,,,,,,,,,,,,,,,,
"Riz blanc, avec légumes et viande, préemballé, cuit",,,,,,,,,,,,,,,,,,
"Risotto, aux légumes, préemballé",2.0,,,,,,,,,,,,,,,,,
"Risotto, aux fruits de mer, préemballé",,,,,,,,,,,,,,,,,,
"Risotto, aux fromages, préemballé",,,,,,,,,,,,,,,,,,
"Raviolis aux légumes, sauce tomate, appertisés",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",,,,,,,,,,,,,,,,,,
"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",,,,,,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",,,,,,,,,,,,,,,,,,30.0
"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",,,,,,,,,,,,,,,,,,
"Lasagnes ou cannellonis aux légumes, préemballés, cuits",,,,,,,,,,1.0,,,,,,,,
"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",,,,,,,,,,,,,,,,,,
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",,,,,,,,,,,,,,,,,,
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",,,,,,,,,,,,,,,,,,
"Fromage de chèvre pané à dorer, préemballé",,,,,,,,,,,,,,,,,,
Soufflé au fromage,,,,,,,,,,,,,,,,,,118.0
"Tartiflette, préemballée",,,,,,,,,,,,,,,,,,
Gougère,16.0,,,,,,,,,,,,,,,,,213.0
"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",12.0,,,,,,,,,,,,,,,,,
Fromage pané au jambon,,,,,,,,,,,,,,,,,,
Escalope végétale ou steak à base de soja,,,,,,,,,,,,,,,,,,
Tempeh,,,,,,,,,,,,,,,,,,0.0
"Nuggets de blé (sans soja), préemballé",,,,,,,,,,,,,,,,,,
