food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Salade de thon et légumes, appertisée",,,,,,,,
"Salade composée avec viande ou poisson, appertisée",,,,,,,,
"Champignons à la grecque, appertisés",,,,,,,,
"Salade de pommes de terre, fait maison",,,,,,,,76.0
"Taboulé ou Salade de couscous, préemballé",753.0,179.0,753.0,179.0,,,,
"Salade de pomme de terre à la piémontaise, préemballée",542.0,130.0,542.0,130.0,,,,
"Salade de riz, appertisée",,,,,,,,
"Salade de pâtes, végétarienne",,,,,,,,
"Crudité, sans assaisonnement (aliment moyen)",125.0,,125.0,,,,,
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",,,,,,14.0,,
"Macédoine de légumes en salade, avec sauce, préemballée",,,,,,7.0,,
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,,,,,,10.0,
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",704.0,168.0,699.0,167.0,,,,
"Carottes râpées, avec sauce, préemballées",,,,,,,5.0,
"Salade de betterave, avec sauce, préemballée",,,,,,,,
"Salade de chou ou Coleslaw, avec sauce, préemballée",435.0,105.0,435.0,105.0,,,,
"Salade de concombre à la crème/fromage blanc, préemballée",,,,,,,,
"Salade de lentilles et saucisse fumée, préemballée",,,,,7.0,,,
"Salade grecque, avec sauce, préemballée",,,,,2.0,,,
"Salade de riz à la niçoise, avec sauce, préemballée",,,,,,,,
"Taboulé ou Salade de couscous au poulet, préemballé",,,,,,,,
"Soupe aux lentilles, préemballée à réchauffer",232.0,55.0,232.0,55.0,,,,
"Soupe à la volaille et aux légumes, préemballée à réchauffer",129.0,,129.0,,,,,
"Soupe aux légumes variés, préemballée à réchauffer",165.0,,165.0,,,,,
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",179.0,,179.0,,,,,
"Soupe aux légumes variés, déshydratée reconstituée",144.0,,144.0,,,,,
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",155.0,,155.0,,,,,
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",129.0,,129.0,,,,1.0,
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",,,,,,,,
"Soupe à l'oignon, préemballée à réchauffer",169.0,,169.0,,,,,
"Soupe aux champignons, préemballée à réchauffer",201.0,,201.0,,,,,92.0
"Soupe à la carotte, préemballée à réchauffer",139.0,,139.0,,,,,
"Soupe à la tomate, préemballée à réchauffer",163.0,,163.0,,,,,
"Soupe chorba frik, à base de viande et de frik",263.0,,263.0,,,,,
"Soupe minestrone, préemballée à réchauffer",204.0,,204.0,,,,2.0,
"Soupe au pistou, déshydratée reconstituée",128.0,,128.0,,,,,
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",122.0,29.0,122.0,29.0,,,,
"Soupe asiatique, avec pâtes, déshydratée reconstituée",126.0,,126.0,,,,,
"Soupe marocaine, déshydratée reconstituée",145.0,,145.0,,,,,90.0
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",110.0,,110.0,,,,,
"Soupe à la volaille et aux légumes, déshydratée reconstituée",115.0,,115.0,,,,,
"Bouillon de boeuf, déshydraté reconstitué",,,,,,,,
"Soupe aux asperges, déshydratée reconstituée",148.0,,148.0,,,,,
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",158.0,,158.0,,,,,
"Soupe aux céréales et aux légumes, déshydratée reconstituée",201.0,,201.0,,,,,90.0
"Soupe à la tomate, déshydratée reconstituée",152.0,,152.0,,,,,
"Soupe aux champignons, déshydratée reconstituée",158.0,,158.0,,,,,
"Soupe à l'oignon, déshydratée reconstituée",101.0,24.0,101.0,24.0,,,,
"Soupe au potiron, préemballée à réchauffer",150.0,,150.0,,,,,
"Bouillon de volaille, déshydraté reconstitué",,,,,,,,
"Bouillon de légumes, déshydraté reconstitué",,,,,,,,98.0
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",,,,,,,,
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",90.0,,90.0,,,,,
"Soupe au pistou, préemballée à réchauffer",134.0,,134.0,,2.0,,,
"Soupe au potiron, déshydratée reconstituée",161.0,,161.0,,,,,
"Soupe asiatique, avec pâtes, préemballée à réchauffer",,,,,,,,
"Soupe minestrone, déshydratée reconstituée",132.0,,132.0,,,,,
"Soupe au cresson, déshydratée reconstituée",105.0,,105.0,,,,,
"Soupe au cresson, préemballée à réchauffer",143.0,34.0,143.0,34.0,1.0,,,
"Soupe aux légumes avec fromage, préemballée à réchauffer",210.0,,210.0,,,,,
"Soupe aux légumes verts, préemballée à réchauffer",140.0,,140.0,,1.0,,,
"Soupe aux légumes verts, déshydratée reconstituée",146.0,,146.0,,,,,
"Soupe aux pois cassés, préemballée à réchauffer",238.0,,238.0,,,,,
"Soupe froide type Gaspacho ou Gazpacho, préemballée",137.0,,137.0,,,,,
"Soupe aux asperges, préemballée à réchauffer",551.0,133.0,551.0,133.0,,,,
Soupe (aliment moyen),157.0,,157.0,,,,,
"Soupe miso, déshydratée reconstituée",,,,,,,,
Tripes à la mode de Caen,487.0,116.0,487.0,116.0,,,,74.0
"Tripes à la mode de Caen, préemballées",469.0,112.0,469.0,112.0,,,,
Tripes à la tomate ou à la provençale,396.0,,396.0,,,,,
Blanquette de veau,474.0,113.0,474.0,113.0,,,4.0,
Boeuf bourguignon,355.0,,355.0,,,,,
"Sauté d'agneau au curry, préemballé",,,,,,,,
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",605.0,145.0,605.0,145.0,,,,
"Lapin à la moutarde, préemballé",453.0,108.0,453.0,108.0,,,5.0,
Coq au vin,555.0,133.0,555.0,133.0,13.0,4.0,7.0,
Paupiette de veau,801.0,193.0,801.0,193.0,,,,
Paupiette de volaille,691.0,164.0,691.0,164.0,,,,
Viande en sauce (aliment moyen),436.0,104.0,436.0,104.0,,,,
Poulet au curry et au lait de coco,517.0,124.0,517.0,124.0,,,,
"Meloukhia, plat à base de boeuf et corete, fait maison",783.0,189.0,783.0,189.0,,,,
"Palette à la diable, préemballée",501.0,120.0,501.0,120.0,,,,
"Langue de boeuf sauce madère, préemballée",746.0,180.0,746.0,180.0,,,,
"Porc au caramel, préemballé",569.0,136.0,569.0,136.0,10.0,,,
"Boulettes au boeuf, à la sauce tomate, préemballées",487.0,117.0,487.0,117.0,9.0,,,
"Paupiette de veau, préemballée,  cuite au four",1150.0,276.0,1150.0,276.0,22.0,,,
"Carpaccio de boeuf, avec marinade",1120.0,271.0,1120.0,271.0,,,23.0,57.0
Yakitori (brochettes japonaises grillées en sauce),727.0,172.0,727.0,172.0,26.0,,,
"Brochette de boeuf, cuite",583.0,139.0,583.0,139.0,,,,
"Brochette de volaille, cuite",576.0,137.0,576.0,137.0,,,4.0,68.0
"Hachis parmentier à la viande, préemballé",577.0,138.0,577.0,138.0,,,,
Couscous au mouton,626.0,149.0,626.0,149.0,,,,
"Couscous à la viande ou au poulet, préemballé, allégé",382.0,,382.0,,,,,
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",702.0,168.0,702.0,168.0,,,,65.0
"Couscous royal (avec plusieurs viandes), préemballé",553.0,132.0,553.0,132.0,,14.0,,
Couscous au poulet,547.0,130.0,547.0,130.0,,,,
"Couscous à la viande, préemballé",537.0,128.0,537.0,128.0,,,,
"Parmentier de canard, préemballé",608.0,146.0,608.0,146.0,,,,
"Parmentier de canard, préemballé, cuit",699.0,168.0,699.0,168.0,7.0,,,
"Cassoulet, appertisé",539.0,129.0,539.0,129.0,,,,
"Choucroute garnie, préemballée",454.0,109.0,454.0,109.0,,,,
"Petit salé ou saucisse aux lentilles, préemballé",494.0,118.0,494.0,118.0,,,,
"Pot-au-feu, préemballé",326.0,,326.0,,,,,
Boeuf aux carottes,406.0,,406.0,,,,,
Potée auvergnate (chou et porc),342.0,,342.0,,6.0,,,
"Cassoulet au porc, appertisé",552.0,132.0,552.0,132.0,,,,
"Cassoulet au canard ou oie, appertisé",672.0,161.0,672.0,161.0,,,,
Tomate farcie,503.0,122.0,503.0,122.0,,2.0,,
"Chou farci, préemballé",393.0,,393.0,,,2.0,,
"Chili con carne, préemballé",494.0,118.0,494.0,118.0,,13.0,,
Moussaka,610.0,147.0,610.0,147.0,,,,76.0
Navarin d'agneau aux légumes,554.0,133.0,554.0,133.0,,5.0,,
Tajine de mouton,550.0,132.0,550.0,132.0,,,,73.0
Osso buco,406.0,,406.0,,,,,
"Poulet basquaise, préemballé",448.0,107.0,448.0,107.0,,,,
"Tajine de poulet, préemballé",534.0,127.0,534.0,127.0,,,,
"Chop suey (porc ou poulet), préemballé",329.0,,329.0,,5.0,,3.0,
Légumes farcis (sauf tomate),292.0,,292.0,,,,3.0,
Moules marinières (oignons et vin blanc),388.0,92.0,388.0,92.0,,,,
"Moules farcies (matière grasse, persillade…), préemballées, crues",1170.0,284.0,1170.0,284.0,,,,
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",441.0,105.0,441.0,105.0,,,,
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",488.0,117.0,488.0,117.0,,,,
"Saumon à l'oseille, préemballé",557.0,133.0,557.0,133.0,,,,
"Poisson blanc à la bordelaise, préemballé",735.0,176.0,735.0,176.0,,,,
"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",315.0,,315.0,,,,,
"Poisson blanc à la florentine (sauce aux épinards), préemballé",420.0,100.0,420.0,100.0,,,,
"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",337.0,80.0,337.0,80.0,,,,
"Poisson blanc à la sauce moutarde, préemballé",381.0,,381.0,,,,,
"Poisson blanc à la parisienne (sauce aux champignons), préemballé",335.0,,335.0,,,3.0,,
"Poisson blanc à l'estragon, préemballé",325.0,,325.0,,,,,
"Poisson blanc sauce oseille, préemballé",478.0,114.0,478.0,114.0,,,,
"Saumon farci, préemballé",945.0,227.0,945.0,227.0,,,,
Brochette de poisson,535.0,127.0,535.0,127.0,18.0,,,
Brochette de crevettes,396.0,,396.0,,,,,75.0
"Poisson en sauce, surgelé",551.0,132.0,551.0,132.0,,,,75.0
Poisson cuit (aliment moyen),604.0,144.0,604.0,144.0,,0.0,,
"Poisson blanc, cuit (aliment moyen)",454.0,107.0,454.0,107.0,22.0,0.0,,74.0
"Poisson blanc, de mer, cuit (aliment moyen)",449.0,106.0,449.0,106.0,,0.0,2.0,74.0
Paëlla,621.0,148.0,621.0,148.0,,,,
Couscous au poisson,442.0,105.0,442.0,105.0,,,,
"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",491.0,117.0,491.0,117.0,,,,
Sushi ou Maki aux produits de la mer,722.0,171.0,722.0,171.0,,,,
Terrine ou mousse de légumes,,,,,,,,
Flan de légumes,,,,,,,,68.0
"Haricots blancs à la sauce tomate, appertisés",,,,,,,,
"Piperade basquaise, préemballée",,,,,,,,
"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",341.0,,341.0,,,,,
"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",,,,,,,,
"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",,,,,,,,
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",,,,,,,,
"Ratatouille cuisinée, préemballée",,,,,,,,88.0
"Épinards à la crème, préemballés",,,,,,,,
"Gratin d'aubergine, préemballé",,,,,,,,
Gratin dauphinois,,,,,,,,
Endive au jambon,,,,,,,,
"Gratin de chou-fleur, préemballé",,,,,3.0,,,
Gratin de légumes,,,,,,,,
"Riste d'aubergines (aubergines, tomates, oignons), préemballée",,,,,,,,
"Palet ou galette de légumes, préfrit, surgelé",,,,,,,,
"Palet ou galette de légumes, préfrit, surgelé, cuit",,,,,,,,
"Choucroute, sans garniture, égouttée, cuite",310.0,,310.0,,,,,
"Tomate à la provençale, fait maison",,,,,,,,
Beignet de légumes,,,,,,23.0,,
"Falafel ou Boulette de pois-chiche et/ou fève, frite",1050.0,252.0,1050.0,252.0,,,,48.0
"Gratin de légumes en sauce blanche type béchamel, cuit",,,,,,,,
"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",881.0,211.0,881.0,211.0,,,,
"Blé dur précuit cuisiné, en sachet micro-ondable",791.0,188.0,785.0,186.0,,,,57.0
"Blé dur précuit, grains entiers, cuisiné, à poêler",1460.0,344.0,1440.0,340.0,,,,
"Ravioli à la viande, sauce tomate, appertisé",401.0,,401.0,,,,,
Lasagnes ou cannelloni à la viande (bolognaise),562.0,134.0,562.0,134.0,,,,
"Pâtes à la bolognaise (spaghetti, tagliatelles…)",487.0,116.0,487.0,116.0,,,,
Riz cantonais,691.0,164.0,691.0,164.0,,,,
"Ravioli chinois à la vapeur à la crevette, cuit",798.0,190.0,798.0,190.0,,,,
Gratin de pâtes,750.0,179.0,750.0,179.0,,,,
"Lasagnes ou cannellonis aux légumes, préemballées, cuits",431.0,103.0,431.0,103.0,,11.0,,74.0
"Pâtes à la carbonara (spaghetti, tagliatelles…)",674.0,161.0,674.0,161.0,,,,66.0
"Lasagnes ou cannellonis au poisson, préemballées",620.0,148.0,620.0,148.0,,13.0,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",951.0,226.0,951.0,226.0,10.0,,,
"Couscous de légumes, préemballé",453.0,108.0,453.0,108.0,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",918.0,219.0,918.0,219.0,,,,
"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",1120.0,265.0,1120.0,265.0,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",734.0,174.0,734.0,174.0,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",1130.0,268.0,1130.0,268.0,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",1110.0,262.0,1110.0,262.0,,,,
Nouilles sautées/poêlées aux crevettes,436.0,104.0,436.0,104.0,,,,
"Riz blanc, avec poulet, préemballé, cuit",737.0,175.0,734.0,174.0,,,,
"Riz blanc, avec légumes et viande, préemballé, cuit",704.0,167.0,700.0,166.0,,,,
"Risotto, aux légumes, préemballé",505.0,120.0,503.0,119.0,,,,
"Risotto, aux fruits de mer, préemballé",544.0,130.0,539.0,129.0,,,,
"Risotto, aux fromages, préemballé",822.0,195.0,817.0,194.0,,,,
"Raviolis aux légumes, sauce tomate, appertisés",383.0,,383.0,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",654.0,156.0,654.0,156.0,,,,
"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",681.0,163.0,681.0,163.0,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",1080.0,255.0,1080.0,255.0,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",837.0,199.0,837.0,199.0,,,,
"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",627.0,150.0,625.0,149.0,,,,
"Lasagnes ou cannellonis aux légumes, préemballés, cuits",512.0,122.0,512.0,122.0,,,,
"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",749.0,179.0,749.0,179.0,7.0,14.0,,
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",557.0,133.0,557.0,133.0,,,,
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",810.0,195.0,810.0,195.0,,,,
"Fromage de chèvre pané à dorer, préemballé",,,,,,15.0,,
Soufflé au fromage,767.0,184.0,767.0,184.0,,,,
"Tartiflette, préemballée",671.0,161.0,671.0,161.0,6.0,,,
Gougère,1660.0,399.0,1660.0,399.0,,,,
"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",959.0,231.0,965.0,232.0,,,,
Fromage pané au jambon,1100.0,263.0,1100.0,263.0,,,,
Escalope végétale ou steak à base de soja,,,,,,,,
Tempeh,660.0,157.0,634.0,151.0,,,,
"Nuggets de blé (sans soja), préemballé",1190.0,284.0,1170.0,280.0,,,,
"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",1060.0,253.0,1060.0,253.0,,,,48.0
"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",1050.0,251.0,1050.0,251.0,,,,
Pané soja et blé (ne convient pas aux véganes ou végétaliens),1090.0,260.0,1090.0,260.0,,,,
"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",1030.0,245.0,1030.0,245.0,,,10.0,
"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",1030.0,247.0,1030.0,247.0,,,,
"Raviolis au tofu, à la sauce tomate, préemballés",385.0,,385.0,,,,,
"Galette de céréales au fromage (sans soja), préemballé",1010.0,241.0,1010.0,241.0,7.0,,,
"Galette de céréales aux légumes (sans soja), préemballé",885.0,211.0,885.0,211.0,,28.0,,
"Boulette végétale au soja et/ou blé, préemballée",880.0,211.0,880.0,211.0,,,,
"Galette ou pavé aux lentilles, soja et légumes, préemballé",713.0,170.0,698.0,166.0,,,,
"Galette ou pavé au blé (seitan) et légumes, préemballé",873.0,208.0,858.0,204.0,,,,
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",899.0,215.0,874.0,209.0,16.0,,11.0,
"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",840.0,201.0,824.0,197.0,,,,
"Galette ou pavé au soja et fromage, préemballé",850.0,204.0,850.0,204.0,,,12.0,
"Galette ou pavé au soja et légumes, préemballé",732.0,175.0,711.0,170.0,,,,
