food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
"Salade de thon et légumes, appertisée",,,,,,,,,,,,,31.0,
"Salade composée avec viande ou poisson, appertisée",,781.0,,,,,,,,,,,,
"Champignons à la grecque, appertisés",0.0,747.0,0.0,,,,,,,,,,,
"Salade de pommes de terre, fait maison",29.0,36.0,0.0,,,,10.0,,,,,,7.0,0.0
"Taboulé ou Salade de couscous, préemballé",0.0,149.0,0.0,,,,,,,,,,,0.0
"Salade de pomme de terre à la piémontaise, préemballée",,,,,,,,,,,,,,
"Salade de riz, appertisée",,34.0,,,,,,,,,,,,
"Salade de pâtes, végétarienne",7.0,1180.0,0.0,,,,21.0,,,,0.0,,16.0,0.0
"Crudité, sans assaisonnement (aliment moyen)",,1930.0,,,24.0,,,,,,,,,0.0
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",11.0,494.0,,,,,,,,,,,,
"Macédoine de légumes en salade, avec sauce, préemballée",,,,,,,,,,,,,,
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,627.0,,,32.0,,,,,,,,,
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",,611.0,,,10.0,,,,,,,,,
"Carottes râpées, avec sauce, préemballées",,,,,,,,,,,,,,
"Salade de betterave, avec sauce, préemballée",,,,,,,5.0,,,,,,,
"Salade de chou ou Coleslaw, avec sauce, préemballée",,1340.0,,,23.0,,,,,,,,,
"Salade de concombre à la crème/fromage blanc, préemballée",,,,,,,,,,,,,,
"Salade de lentilles et saucisse fumée, préemballée",,,,,,,,,,,,,,
"Salade grecque, avec sauce, préemballée",,,,,,,,,,,,,,
"Salade de riz à la niçoise, avec sauce, préemballée",,,,,,,,,,,,,,
"Taboulé ou Salade de couscous au poulet, préemballé",,135.0,,,,,,,,,,,,
"Soupe aux lentilles, préemballée à réchauffer",0.0,430.0,,0.0,,,,,,,,,20.0,
"Soupe à la volaille et aux légumes, préemballée à réchauffer",,,,,,,,,,,,,,
